sex,percentile,age,BMI
M,97,5.11830992738208,16.4654482644835
M,97,6.01220686397136,16.6560762914242
M,97,7.03098594589854,17.0532166355936
M,97,8.00375581638544,17.5297860666574
M,97,9.01596268035679,18.1493242909192
M,97,10.021596273301,18.8324060392117
M,97,11.0140854303336,19.6266867275505
M,97,12.0197190232779,20.4686253770562
M,97,13.0122060741679,21.3741062780169
M,97,14.0178396671121,22.2795871789777
M,97,15.0037555531176,23.1056389930439
M,97,15.9896714391231,23.8363787025034
M,97,17.0018772500232,24.4559175630531
M,97,18.0009386250116,24.9324863578291
M,97,18.9934267289729,25.3296267019985
M,85,5.11830992738208,15.3852261720216
M,85,6.01877960846283,15.4646539863403
M,85,7.02441320140707,15.7029387018722
M,85,8.01690130536837,16.0365367945866
M,85,9.02253489831262,16.4495627016197
M,85,10.021596273301,16.8943610069561
M,85,11.0272298662453,17.4662425426267
M,85,12.0065724812236,18.0540109137367
M,85,13.0056338562121,18.7847493506205
M,85,13.9981219601734,19.5472601858075
M,85,15.0103288241447,20.2938829129793
M,85,16.002816928106,20.9610790984081
M,85,17.0018772500232,21.5647343049576
M,85,18.0075118960387,22.0571867537338
M,85,19,22.5178718945096
M,75,5.1248831984092,14.9563147021247
M,75,6.0253523529543,15.0198569535797
M,75,7.0178404569156,15.2104849805204
M,75,8.01690130536837,15.5281962377953
M,75,9.00938940932968,15.8141376419184
M,75,10.021596273301,16.2112792586636
M,75,11.0206576482895,16.7196185428792
M,75,12.0131457522508,17.259730225398
M,75,13.0122060741679,17.9269264108268
M,75,14.0178396671121,18.6576648477105
M,75,15.0037555531176,19.3248610331393
M,75,16.002816928106,19.9761716557044
M,75,17.0084505210503,20.5480544639507
M,75,17.9943653539845,21.0405081853026
M,75,19.0065732710271,21.4535340923357
M,25,5.11830992738208,13.5742656426759
M,25,6.01877960846283,13.5742656426759
M,25,7.01126771242413,13.7013501455858
M,25,8.01032856087691,13.8602057742233
M,25,9.02253489831262,14.0667193640277
M,25,10.021596273301,14.3526607681509
M,25,11.0075111062352,14.6703732980015
M,25,12.0262912412337,15.0833992050347
M,25,12.9924883672291,15.5123106749315
M,25,14.0046941781292,16.1000790460416
M,25,15.0169010421006,16.6401907285604
M,25,16.0093891460619,17.1803011385035
M,25,17.0018772500232,17.6250994438399
M,25,18.0009386250116,18.0063542251455
M,25,19.0065732710271,18.3399523178599
M,10,5.10516496493479,13.0500407955965
M,10,6.03192562398141,13.0341539601571
M,10,7.02441320140707,13.1294673373395
M,10,8.01690130536837,13.288322965977
M,10,9.02253489831262,13.4630654300539
M,10,10.0150230022739,13.6536921844189
M,10,11.0009388882794,13.9555204239815
M,10,12.0131457522508,14.3050040795597
M,10,13.0122060741679,14.7815722380478
M,10,14.0046941781292,15.2581416691116
M,10,15.0103288241447,15.718824264736
M,10,15.9962436570789,16.1953924232241
M,10,17.0018772500232,16.6084196028329
M,10,18.0075118960387,16.9420176955473
M,10,19.0065732710271,17.2279590996705
M,3,5.1248831984092,12.5416976936537
M,3,6.0253523529543,12.5575845290932
M,3,7.01126771242413,12.6370110708362
M,3,8.01032856087691,12.7640981188976
M,3,9.01596268035679,12.9070694572471
M,3,10.0281695443282,13.1294673373395
M,3,11.0009388882794,13.351865217432
M,3,12.0131457522508,13.6854633101464
M,3,12.9793428782462,14.0984904897552
M,3,14.0178396671121,14.5432887950916
M,3,15.0103288241447,14.9563147021247
M,3,16.002816928106,15.3693406091578
M,3,17.0084505210503,15.7347098275997
M,3,18.0075118960387,16.0206512317229
M,3,18.9802822930612,16.243050384391
F,97,5.12523546058247,18.6148976246926
F,97,6.03484024585962,18.9492925357527
F,97,7.03013209025635,19.4906930306596
F,97,8.0188326224131,20.1913311412947
F,97,9.02730709128976,21.0830513293267
F,97,10.0225989356865,22.0862360625071
F,97,11.0244826203463,23.2168088472854
F,97,12.0263663050061,24.3951534270283
F,97,13.0150663091397,25.5734973689636
F,97,14.0169499937995,26.6881466472922
F,97,15.0188326224131,27.5798661975166
F,97,16.014125522856,28.216809644545
F,97,18.0112999958663,28.917445841757
F,97,19.0065918402631,29.0607580376125
F,97,17.0225999917327,28.6785926072031
F,85,5.12523546058247,16.9588465758418
F,85,6.01506630913972,17.1021594095049
F,85,7.03013209025635,17.4206308141153
F,85,8.0188326224131,17.8187197509744
F,85,9.03389893155282,18.4715860666448
F,85,10.0225989356865,19.1403758887651
F,85,11.0112999958663,20.0002490638977
F,85,12.0263663050061,20.9556632777287
F,85,13.0084755249228,21.9269997223942
F,85,14.0103581535364,22.8824139362253
F,85,15.0188326224131,23.6626695791091
F,85,16.0207163070729,24.2836888818801
F,85,18.0178918361294,24.9206310532931
F,85,19.0131836805261,25.1435607813973
F,85,17.0094173672527,24.6340066615823
F,75,5.11864414834251,16.3219050422364
F,75,6.03484024585962,16.4333695873847
F,75,7.03013209025635,16.6403764468468
F,75,8.03201524689304,16.9906948643566
F,75,9.03389893155282,17.5320953592635
F,75,10.0225989356865,18.1690381684842
F,75,11.0310734045631,18.933369029303
F,75,12.0329570892229,19.7932422044355
F,75,13.0216581494028,20.7327316362015
F,75,14.0103581535364,21.6085283177839
F,75,15.0188326224131,22.3410134413184
F,75,16.014125522856,22.898337442675
F,75,17.0094173672527,23.2805028730844
F,75,18.0112999958663,23.5512037583455
F,75,19.0131836805261,23.7422858357425
F,75,17.0094173672527,23.2805028730844
F,50,5.18455779876527,15.2709485140915
F,50,6.04143208612268,15.2868720205412
F,50,7.01694946577641,15.3983378413048
F,50,8.04519787137297,15.7008857394655
F,50,9.02730709128976,16.1308216892241
F,50,10.0423734004295,16.6403764468468
F,50,11.0310734045631,17.2773179804522
F,50,12.039548929486,18.0257266104365
F,50,13.0348407738827,18.8219044841547
F,50,14.0037673693196,19.5703118385237
F,50,15.0122418381962,20.2231781541942
F,50,16.0009428983761,20.7008858989174
F,50,17.0094173672527,21.0512043164272
F,50,18.0178918361294,21.2900581887888
F,50,18.9934102718293,21.4174462403868
F,25,5.13182730084553,14.3314590823255
F,25,6.02165762137969,14.2836872873609
F,25,7.03013209025635,14.3951531081245
F,25,8.038606559133,14.6340069804861
F,25,9.00094184232989,14.984325397996
F,25,10.0291918319957,15.3824143348551
F,25,11.0310734045631,15.923814829762
F,25,12.0263663050061,16.5448341325329
F,25,13.0150663091397,17.2932414869019
F,25,14.0301326182794,17.9461078025724
F,25,15.0320163029392,18.5034330795443
F,25,16.0207163070729,18.9174455228532
F,25,17.0094173672527,19.2359169274636
F,25,18.0244836763925,19.4110767740262
F,25,19.0065918402631,19.5543883320739
F,10,5.11864414834251,13.5830504523412
F,10,6.03484024585962,13.5352812086073
F,10,7.02354077801638,13.6308222473058
F,10,8.038606559133,13.7900573118033
F,10,9.03389893155282,14.0607581970644
F,10,10.0423734004295,14.4747706403733
F,10,11.0442570850893,14.9365536030314
F,10,12.0065928963092,15.4779553735536
F,10,13.0018836846598,16.0830511698748
F,10,14.0235407780164,16.7199939790955
F,10,15.0254244626762,17.2136239546532
F,10,16.007533682593,17.5798658786128
F,10,17.0160081514696,17.8027962445246
F,10,18.0112999958663,17.9301842961226
F,10,19.0131836805261,18.0098031039867
F,3,5.16478333402228,12.9617824045764
F,3,6.02165762137969,12.9299328404462
F,3,7.04331471473628,12.9140131608425
F,3,8.06497180809287,13.0732456741093
F,3,9.02730709128976,13.3120995464709
F,3,9.99623368672662,13.6624192395961
F,3,9.99623368672662,13.6942662524956
F,3,11.0112999958663,14.1560517663844
F,3,12.019774464743,14.6496804663267
F,3,13.0348407738827,15.1751587303992
F,3,14.0301326182794,15.7643310202706
F,3,15.0254244626762,16.0987259313308
F,3,16.0009428983761,16.4968148681899
F,3,17.0160081514696,16.6719747147525
F,3,17.9915265871695,16.767515753451
F,3,18.9868184315662,16.7993627663505